# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2113
#@/user_id	6a1fb6ce-71d4-4c3d-8498-654831c224b0
luo ye gui gen 	落叶归根	c=1 d=0.319819 t=2113
lv you 	旅游	c=1 d=0.245367 t=2113
ma 	吗	c=8 d=2.55646 t=2113
ma 	码	c=3 d=0.321278 t=2113
ma fan 	麻烦	c=1 d=0.00900478 t=2113
mai 	买	c=1 d=0.543351 t=2113
mai 	卖	c=5 d=0.284831 t=2113
mai lai 	买来	c=1 d=0.101774 t=2113
man 	满	c=2 d=0.0390474 t=2113
man zu 	满足	c=1 d=0.261846 t=2113
mang 	忙	c=1 d=0.165299 t=2113
mao 	毛	c=1 d=0.147342 t=2113
mao bing 	毛病	c=1 d=0.183599 t=2113
me 	么	c=1 d=0.418952 t=2113
mei 	没	c=19 d=4.02479 t=2113
mei fa 	没法	c=1 d=0.932394 t=2113
mei ren 	没人	c=3 d=1.17602 t=2113
mei shi 	没事	c=2 d=0.6246 t=2113
mei shi 	美食	c=2 d=0.0267827 t=2113
mei shui 	没谁	c=1 d=0.0119742 t=2113
mei shuo 	没说	c=1 d=0.66365 t=2113
mei you 	没有	c=1 d=0.0197421 t=2113
men 	们	c=1 d=0.227638 t=2113
miao 	瞄	c=0 d=0.00269169 t=2113
miao yi yan 	瞄一眼	c=1 d=0.0270518 t=2113
ming 	名	c=0 d=0.00728029 t=2113
ming mian 	名面	c=1 d=0.463013 t=2113
ming xian 	明显	c=1 d=0.529935 t=2113
ming zheng yan shui 	名睁眼谁	c=1 d=0.0731678 t=2113
ming zheng yan shun 	名正言顺	c=1 d=0.0735345 t=2113
ming zi 	名字	c=2 d=0.840105 t=2113
mo 	摸	c=1 d=0.325581 t=2113
mo 	膜	c=1 d=0.0678809 t=2113
mo yi xia 	摸一下	c=1 d=0.319819 t=2113
mou sha 	谋杀	c=3 d=0.394128 t=2113
mu shi 	牧师	c=2 d=0.0284365 t=2113
n 	嗯	c=1 d=0.358796 t=2113
na 	哪	c=1 d=0.13466 t=2113
na 	拿	c=4 d=0.375228 t=2113
na 	那	c=14 d=1.64106 t=2113
na jian 	那件	c=1 d=0.869358 t=2113
na li 	哪里	c=2 d=0.019964 t=2113
na me 	那么	c=9 d=2.92951 t=2113
na tian 	哪天	c=2 d=1.05573 t=2113
na yi 	那一	c=0 d=0.0431711 t=2113
na yi dui 	那一对	c=1 d=0.433874 t=2113
nan 	男	c=0 d=0.00129715 t=2113
nan bao 	难保	c=1 d=0.171187 t=2113
nan dao 	难道	c=2 d=0.972047 t=2113
nao 	脑	c=0 d=0.00235177 t=2113
ne 	呢	c=6 d=1.36698 t=2113
nei 	内	c=1 d=0.0160829 t=2113
nei nei 	内内	c=5 d=0.791344 t=2113
nei rong 	内容	c=1 d=0.0188734 t=2113
nei yi 	内衣	c=1 d=0.0175097 t=2113
neng 	能	c=7 d=1.22196 t=2113
neng bu neng 	能不能	c=1 d=0.687289 t=2113
neng nai 	能耐	c=1 d=0.355226 t=2113
ni 	你	c=74 d=7.65372 t=2113
ni de 	你的	c=1 d=0.463013 t=2113
ni men 	你们	c=1 d=0.222017 t=2113
ni shi 	你是	c=1 d=0.017249 t=2113
ni zhe 	你这	c=2 d=0.628135 t=2113
nian 	年	c=1 d=0.186374 t=2113
nian ji 	年纪	c=0 d=0.0408608 t=2113
nian ji qing qing 	年纪轻轻	c=1 d=0.410656 t=2113
nian qing 	年轻	c=1 d=0.496585 t=2113
nian qing ren 	年轻人	c=2 d=0.460704 t=2113
nian tou 	念头	c=1 d=0.458406 t=2113
niao qiang 	鸟枪	c=2 d=0.0981356 t=2113
nie 	捏	c=3 d=0.173665 t=2113
nv 	女	c=1 d=0.450672 t=2113
o 	哦	c=1 d=0.752863 t=2113
o o 	哦哦	c=0 d=0.00300468 t=2113
o o o 	哦哦哦	c=0 d=0.00300468 t=2113
o o o o o 	哦哦哦哦哦	c=1 d=0.0301974 t=2113
ou er 	偶尔	c=1 d=0.0232837 t=2113
pa 	怕	c=2 d=0.180081 t=2113
pai 	拍	c=2 d=0.573017 t=2113
pai 	排	c=3 d=1.14873 t=2113
pai xu 	排序	c=1 d=0.565525 t=2113
pan xuan 	盘旋	c=1 d=0.344728 t=2113
pao wang 	炮王	c=1 d=0.0238732 t=2113
pei zhi 	配置	c=1 d=0.0267827 t=2113
pi jiu 	啤酒	c=0 d=0.00285814 t=2113
pi jiu ya 	啤酒鸭	c=1 d=0.0287246 t=2113
ping bi 	屏蔽	c=1 d=0.232236 t=2113
ping sha 	凭啥	c=1 d=0.0347353 t=2113
ping shi 	平时	c=2 d=0.218712 t=2113
po 	破	c=2 d=1.11262 t=2113
qi 	歧	c=0 d=0.0486752 t=2113
qi 	起	c=1 d=0.0473589 t=2113
qi fu 	欺负	c=1 d=0.0880368 t=2113
qi lai 	起来	c=2 d=0.167114 t=2113
qi ma 	起码	c=1 d=0.360595 t=2113
qi pa 	奇葩	c=4 d=0.472079 t=2113
qian 	钱	c=1 d=0.778801 t=2113
qian duan 	前端	c=1 d=0.0372538 t=2113
qiang 	墙	c=1 d=0.239309 t=2113
qiang jian 	强奸	c=1 d=0.644036 t=2113
qiao qiao 	翘翘	c=1 d=0.201897 t=2113
qie zi 	茄子	c=1 d=0.025223 t=2113
qing 	请	c=1 d=0.0305009 t=2113
qing qing 	轻轻	c=0 d=0.0408608 t=2113
qing xin 	清新	c=0 d=0.00298969 t=2113
qiong bi 	穷逼	c=2 d=0.35622 t=2113
qu 	去	c=8 d=1.92501 t=2113
qu 	取	c=3 d=0.452555 t=2113
qu diao 	去掉	c=1 d=0.951229 t=2113
qu ge 	娶个	c=1 d=0.344728 t=2113
qu nian 	去年	c=1 d=0.0140519 t=2113
quan bu 	全部	c=2 d=0.238225 t=2113
que ren 	确认	c=1 d=0.588605 t=2113
ran hou 	然后	c=8 d=1.23689 t=2113
rang 	让	c=3 d=0.769804 t=2113
rang ni 	让你	c=1 d=0.0391639 t=2113
rang wo 	让我	c=1 d=0.697676 t=2113
ren 	人	c=3 d=0.283445 t=2113
